"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","Vehicle_rep1","Vehicle_rep2"
"ACTL9",0,2,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"ACTN1",10765,22013,19114,34825,14199,24177,4311,12123,12644,5396,7379,11224,22922,10955,8241,9182,4551,19745,23544,22070,33696,10048,48756
"ACTN1-AS1",3,9,8,20,4,13,0,10,2,1,1,53,0,17,8,5,5,15,10,9,12,0,2
"ACTN2",424,6037,145,761,2174,1732,1379,2041,813,637,1084,592,1017,1325,746,957,314,889,111,971,796,149,540
"ACTN3",5,9,4,4,9,4,9,8,6,4,11,5,4,12,8,4,4,12,2,24,8,0,3
"ACTN4",9701,20998,16653,26973,14695,17050,21107,13324,20921,10652,11103,14897,29205,11871,12806,12693,6916,26959,21624,10870,15924,11135,46251
"ACTR10",3099,4433,1727,2479,2394,3923,1585,2992,2294,1579,2953,2699,3423,2604,3687,1604,1230,3794,1683,1201,2657,2321,5537
"ACTR1A",7600,12960,4084,9133,8386,9318,11789,3949,10218,4178,7215,5176,5672,5747,7179,3876,1519,5649,3695,3121,4600,6349,21574
"ACTR1B",1666,6024,2282,4615,3175,4729,4607,3951,4977,3682,2700,3744,3342,4620,3704,2824,1265,8723,2445,2482,3819,2002,7411
"ACTR2",7802,13085,14031,11158,10739,15120,11646,6477,19919,8543,8723,10222,15628,10250,12693,11953,2878,14199,10696,9073,10872,7375,16801
"ACTR3",8536,13975,12864,9241,6739,13124,7859,5775,16935,6177,6399,7946,14529,5406,7229,9623,2639,15518,7659,7808,11377,5586,14461
"ACTR3B",610,5518,259,1118,703,1188,1125,1062,745,648,1040,700,1321,1645,930,771,220,920,461,1373,683,699,2300
"ACTR3BP2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTR3BP5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTR3C",22,64,50,40,15,29,6,42,10,10,14,58,7,28,39,13,15,113,14,18,15,5,10
"ACTR5",733,557,318,393,405,486,478,620,504,418,1119,349,557,617,586,350,142,606,350,388,394,193,854
"ACTR6",1703,1737,962,1712,1313,1738,1355,1297,1092,855,1301,792,1644,1377,2053,910,425,1615,1097,896,1064,724,1081
"ACTR8",907,1884,971,1946,1391,1630,2066,817,1685,962,1530,1385,1661,1511,1767,1340,346,1798,1307,1547,1106,1210,3382
"ACTRT1",2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTRT2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTRT3",98,8,63,104,35,59,15,5,12,67,21,76,11,9,17,57,7,11,3,3,10,23,74
"ACVR1",1104,1545,1674,1552,1551,2199,1275,1186,3791,1863,1673,1493,1763,1506,1910,1766,618,1541,1535,731,1041,1365,4227
"ACVR1B",1454,1963,3001,2077,1383,2455,3692,1669,2656,1324,2012,1500,2384,1672,2363,2006,518,3395,1602,1053,2205,1300,4343
"ACVR1C",36,16,21,73,146,22,59,32,200,8,55,47,5,585,115,27,33,5,47,37,2,12,26
"ACVR2A",627,421,956,315,722,448,1416,422,807,557,1412,206,646,620,981,453,183,612,335,494,494,580,1296
"ACVR2B",341,448,303,626,672,453,1908,406,992,380,1761,322,653,949,658,420,93,515,355,805,261,763,1902
"ACVR2B-AS1",164,103,32,84,63,43,73,37,207,101,100,98,51,152,57,59,19,34,68,156,61,22,87
"ACVRL1",621,997,863,1169,761,1476,635,1180,878,718,1207,1186,1221,940,2611,1447,1194,1816,845,128,1148,4,16
"ACY1",107,279,108,113,85,126,199,328,273,263,110,221,76,460,141,209,63,235,144,110,174,35,106
"ACY3",34,9,82,48,23,100,34,369,272,151,23,226,96,282,35,93,95,34,27,13,51,0,0
"ACYP1",651,226,167,628,201,275,581,552,236,162,425,489,373,491,344,117,115,281,162,683,102,103,262
"ACYP2",803,1531,622,775,1674,1267,709,2347,2418,2461,1071,1824,1534,1706,2227,1058,697,1627,1806,785,1782,473,1379
"ADA",245,237,240,296,346,194,102,571,203,339,174,202,446,287,444,484,117,723,82,93,488,119,349
"ADAD1",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ADAD2",12,16,1,6,138,26,45,39,15,26,62,37,7,143,114,21,18,26,7,26,7,0,0
"ADAL",280,517,431,710,417,917,720,564,387,275,232,599,705,1199,446,472,175,537,469,795,261,312,796
"ADAM10",1591,3291,5069,3613,4283,5295,4745,2073,3902,2469,2389,3791,7734,5592,3673,3686,1495,9243,4320,4633,4508,2970,7231
"ADAM11",172,135,29,58,278,131,311,296,194,206,687,165,503,526,566,155,161,89,121,300,241,22,121
"ADAM12",547,2650,4400,1769,857,3243,1410,1396,222,568,381,568,7803,592,1629,1390,793,2459,1769,2021,2664,1200,3853
